,Log Concentrations
A,-11.154306435310572
B,-14.52639264223012
C,-11.912304352511832
D,-13.748944910541223
E,-10.746417413277886
F,-16.166998469229075
A_ext,-6.907755278982137
D_ext,-18.420680743952367
E_ext,-6.907755278982137
F_ext,-18.420680743952367
